customer_id,count,country,state,city,zip_code,lat_long,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,churn_reason,id,population,cluster_improved
3668-qpybk,1,united states,california,los angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,male,no,no,no,2,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,mailed check,53.85,108.15,yes,1,86,3239,competitor made better offer,3,58198,0
9237-hqitu,1,united states,california,los angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,female,no,no,yes,2,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,70.7,151.65,yes,1,67,2701,moved,5,43019,0
9305-cdskc,1,united states,california,los angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,female,no,no,yes,8,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic check,99.65,820.5,yes,1,86,5372,moved,6,62784,0
7892-pookp,1,united states,california,los angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,female,no,yes,yes,28,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,104.8,3046.05,yes,1,84,5003,moved,9,1957,0
0280-xjgex,1,united states,california,los angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,male,no,no,yes,49,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),103.7,5036.3,yes,1,89,5340,competitor had better devices,14,15140,0
4190-mfluw,1,united states,california,los angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,female,no,yes,no,10,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,no,credit card (automatic),55.2,528.35,yes,1,78,5925,competitor offered higher download speeds,19,42394,0
8779-qrdmv,1,united states,california,los angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,male,yes,no,no,1,no,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,yes,electronic check,39.65,39.65,yes,1,100,5433,competitor offered more data,21,68701,1
1066-jksgk,1,united states,california,los angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,male,no,no,no,1,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,20.15,20.15,yes,1,92,4832,competitor made better offer,23,44150,1
6467-chfzw,1,united states,california,los angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,male,no,yes,yes,47,yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic check,99.35,4749.15,yes,1,77,5789,competitor had better devices,27,30568,0
8665-utdhz,1,united states,california,los angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,male,no,yes,no,1,no,no phone service,dsl,no,yes,no,no,no,no,month-to-month,no,electronic check,30.2,30.2,yes,1,97,2915,competitor had better devices,28,41713,1
8773-hhuoz,1,united states,california,los angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,female,no,no,no,17,yes,no,dsl,no,no,no,no,yes,yes,month-to-month,yes,mailed check,64.7,1093.1,yes,1,74,3022,competitor offered higher download speeds,30,46960,0
6047-yhpvi,1,united states,california,los angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,male,no,no,yes,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,69.7,316.9,yes,1,66,2454,competitor offered higher download speeds,37,29310,0
5380-wjkov,1,united states,california,los angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,male,no,no,yes,34,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,106.35,3549.25,yes,1,65,2941,competitor offered higher download speeds,39,27866,0
8168-uqwwf,1,united states,california,los angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,female,no,no,yes,11,yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,yes,bank transfer (automatic),97.85,1105.4,yes,1,70,5674,competitor offered more data,40,64672,0
7760-oypdy,1,united states,california,los angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,female,no,no,yes,2,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,80.65,144.15,yes,1,90,5586,competitor offered more data,48,8115,0
9420-lojkx,1,united states,california,los angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,female,no,no,yes,15,yes,no,fiber optic,yes,yes,no,no,yes,yes,month-to-month,yes,credit card (automatic),99.1,1426.4,yes,1,82,2966,competitor offered more data,52,24511,0
7495-ookfy,1,united states,california,los angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,female,yes,yes,yes,8,yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,yes,credit card (automatic),80.65,633.3,yes,1,69,5302,competitor made better offer,54,55668,0
1658-bygoy,1,united states,california,los angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,male,yes,no,yes,18,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,yes,electronic check,95.45,1752.55,yes,1,81,3179,competitor made better offer,56,47534,0
5698-bqjoh,1,united states,california,beverly hills,90211,"34.063947, -118.383001",34.063947,-118.383001,female,no,no,yes,9,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,electronic check,94.4,857.25,yes,1,96,5571,price too high,65,8321,0
5919-tmrgd,1,united states,california,huntington park,90255,"33.97803, -118.217141",33.97803,-118.217141,female,no,no,yes,1,yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,79.35,79.35,yes,1,87,2483,product dissatisfaction,81,78114,1
9191-myqkx,1,united states,california,lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,female,no,yes,yes,7,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,bank transfer (automatic),75.15,496.9,yes,1,70,3457,service dissatisfaction,83,69850,0
8637-xjivr,1,united states,california,marina del rey,90292,"33.977468, -118.445475",33.977468,-118.445475,female,no,no,yes,12,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,yes,electronic check,78.95,927.35,yes,1,86,5806,lack of self-service on website,96,18058,0
0278-yxoog,1,united states,california,inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,male,no,no,no,5,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,no,mailed check,21.05,113.85,yes,1,66,2604,network reliability,98,37527,0
4598-xlknj,1,united states,california,inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,female,yes,yes,yes,25,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,98.5,2514.5,yes,1,88,5337,limited range of services,100,27778,0
3192-nqeca,1,united states,california,santa monica,90403,"34.031529, -118.491156",34.031529,-118.491156,male,no,yes,no,68,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),110.0,7611.85,yes,1,86,5034,lack of affordable download/upload speed,105,23559,0
0486-heczi,1,united states,california,torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,male,no,yes,yes,55,yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,yes,electronic check,96.75,5238.9,yes,1,75,5154,long distance charges,111,31678,0
4846-whafz,1,united states,california,whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,female,yes,yes,yes,37,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,76.5,2868.15,yes,1,67,2793,extra data charges,114,26265,0
5299-ruloa,1,united states,california,whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,female,no,yes,yes,10,yes,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,yes,electronic check,100.25,1064.65,yes,1,87,5998,price too high,118,32148,0
0404-swrvg,1,united states,california,la habra,90631,"33.940619, -117.9513",33.940619,-117.9513,male,no,no,yes,3,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,74.4,229.55,yes,1,76,4415,product dissatisfaction,123,67354,0
4412-yltkf,1,united states,california,pico rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,female,yes,no,yes,27,yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,78.05,2135.5,yes,1,95,4638,service dissatisfaction,127,63288,0
6207-wiolx,1,united states,california,avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,female,no,yes,no,25,no,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,yes,credit card (automatic),58.6,1502.65,yes,1,99,4190,lack of self-service on website,132,3699,0
3091-fyhki,1,united states,california,harbor city,90710,"33.798266, -118.300237",33.798266,-118.300237,male,no,no,no,1,no,no phone service,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic check,35.45,35.45,yes,1,80,2301,network reliability,134,24660,1
2372-hwuhi,1,united states,california,lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,male,no,no,no,2,yes,no,dsl,no,no,no,no,no,no,month-to-month,no,electronic check,44.35,81.25,yes,1,76,2570,don't know,135,30173,0
0390-dcfdq,1,united states,california,los alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,female,yes,yes,yes,1,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,70.45,70.45,yes,1,76,3964,don't know,140,21343,1
4080-ogpjl,1,united states,california,san pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,female,no,no,no,8,yes,yes,dsl,yes,no,no,yes,no,yes,month-to-month,no,electronic check,71.15,563.65,yes,1,66,2662,don't know,142,58639,0
2135-rxihg,1,united states,california,carson,90745,"33.822295, -118.26411",33.822295,-118.26411,male,no,no,no,1,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,45.65,45.65,yes,1,73,2600,poor expertise of online support,148,55486,1
3874-eqoep,1,united states,california,long beach,90804,"33.783047, -118.1486",33.783047,-118.1486,male,no,no,yes,7,yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,no,mailed check,95.0,655.5,yes,1,94,2786,poor expertise of phone support,152,43467,0
0867-mkzvy,1,united states,california,altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,female,no,yes,yes,20,yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,no,electronic check,82.4,1592.35,yes,1,86,5719,price too high,162,36243,0
3376-bmgfe,1,united states,california,monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,female,no,no,yes,4,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,bank transfer (automatic),70.9,273.0,yes,1,75,4287,product dissatisfaction,167,41067,0
3445-hxxgf,1,united states,california,sierra madre,91024,"34.168686, -118.057505",34.168686,-118.057505,male,yes,yes,no,58,no,no phone service,dsl,no,yes,yes,no,no,yes,month-to-month,yes,electronic check,45.3,2651.2,yes,1,100,5444,service dissatisfaction,169,10558,0
1875-qivme,1,united states,california,tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,female,no,yes,yes,2,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,yes,electronic check,104.4,242.8,yes,1,83,4690,lack of self-service on website,172,26753,0
0691-jvsya,1,united states,california,pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,female,no,yes,no,53,yes,no,fiber optic,no,no,yes,no,yes,yes,one year,yes,bank transfer (automatic),94.85,5000.2,yes,1,80,4328,network reliability,174,27891,0
2656-fmokz,1,united states,california,pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,female,yes,no,yes,15,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,mailed check,74.45,1145.7,yes,1,99,5717,limited range of services,177,23742,0
