customer_id,count,country,state,city,zip_code,lat_long,latitude,longitude,tenure_months,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,payment_method,monthly_charges,total_charges,churn_value,churn_score,cltv,churn_reason,id,population,gender_bin,senior_citizen_bin,partner_bin,dependents_bin,phone_service_bin,paperless_billing_bin,churn_label_bin
3668-qpybk,1,united states,california,los angeles,90003,"33.964131, -118.272783",33.964131,-118.272783,2,no,dsl,yes,yes,no,no,no,no,month-to-month,mailed check,53.85,108.15,1,86,3239,competitor made better offer,3,58198,1,0,0,0,1,1,1
9237-hqitu,1,united states,california,los angeles,90005,"34.059281, -118.30742",34.059281,-118.30742,2,no,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,70.7,151.65,1,67,2701,moved,5,43019,0,0,0,1,1,1,1
9305-cdskc,1,united states,california,los angeles,90006,"34.048013, -118.293953",34.048013,-118.293953,8,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,electronic check,99.65,820.5,1,86,5372,moved,6,62784,0,0,0,1,1,1,1
7892-pookp,1,united states,california,los angeles,90010,"34.062125, -118.315709",34.062125,-118.315709,28,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,electronic check,104.8,3046.05,1,84,5003,moved,9,1957,0,0,1,1,1,1,1
0280-xjgex,1,united states,california,los angeles,90015,"34.039224, -118.266293",34.039224,-118.266293,49,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,bank transfer (automatic),103.7,5036.3,1,89,5340,competitor had better devices,14,15140,1,0,0,1,1,1,1
4190-mfluw,1,united states,california,los angeles,90020,"34.066367, -118.309868",34.066367,-118.309868,10,no,dsl,no,no,yes,yes,no,no,month-to-month,credit card (automatic),55.2,528.35,1,78,5925,competitor offered higher download speeds,19,42394,0,0,1,0,1,0,1
8779-qrdmv,1,united states,california,los angeles,90022,"34.02381, -118.156582",34.02381,-118.156582,1,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,electronic check,39.65,39.65,1,100,5433,competitor offered more data,21,68701,1,1,0,0,0,1,1
1066-jksgk,1,united states,california,los angeles,90024,"34.066303, -118.435479",34.066303,-118.435479,1,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,mailed check,20.15,20.15,1,92,4832,competitor made better offer,23,44150,1,0,0,0,1,0,1
6467-chfzw,1,united states,california,los angeles,90028,"34.099869, -118.326843",34.099869,-118.326843,47,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,electronic check,99.35,4749.15,1,77,5789,competitor had better devices,27,30568,1,0,1,1,1,1,1
8665-utdhz,1,united states,california,los angeles,90029,"34.089953, -118.294824",34.089953,-118.294824,1,no phone service,dsl,no,yes,no,no,no,no,month-to-month,electronic check,30.2,30.2,1,97,2915,competitor had better devices,28,41713,1,0,1,0,0,0,1
8773-hhuoz,1,united states,california,los angeles,90032,"34.078821, -118.177576",34.078821,-118.177576,17,no,dsl,no,no,no,no,yes,yes,month-to-month,mailed check,64.7,1093.1,1,74,3022,competitor offered higher download speeds,30,46960,0,0,0,0,1,1,1
6047-yhpvi,1,united states,california,los angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,5,no,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,69.7,316.9,1,66,2454,competitor offered higher download speeds,37,29310,1,0,0,1,1,1,1
5380-wjkov,1,united states,california,los angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,34,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,electronic check,106.35,3549.25,1,65,2941,competitor offered higher download speeds,39,27866,1,0,0,1,1,1,1
8168-uqwwf,1,united states,california,los angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,11,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,bank transfer (automatic),97.85,1105.4,1,70,5674,competitor offered more data,40,64672,0,0,0,1,1,1,1
7760-oypdy,1,united states,california,los angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,2,no,fiber optic,no,no,no,no,yes,no,month-to-month,electronic check,80.65,144.15,1,90,5586,competitor offered more data,48,8115,0,0,0,1,1,1,1
9420-lojkx,1,united states,california,los angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,15,no,fiber optic,yes,yes,no,no,yes,yes,month-to-month,credit card (automatic),99.1,1426.4,1,82,2966,competitor offered more data,52,24511,0,0,0,1,1,1,1
7495-ookfy,1,united states,california,los angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,8,yes,fiber optic,no,yes,no,no,no,no,month-to-month,credit card (automatic),80.65,633.3,1,69,5302,competitor made better offer,54,55668,0,1,1,1,1,1,1
1658-bygoy,1,united states,california,los angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,18,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,electronic check,95.45,1752.55,1,81,3179,competitor made better offer,56,47534,1,1,0,1,1,1,1
5698-bqjoh,1,united states,california,beverly hills,90211,"34.063947, -118.383001",34.063947,-118.383001,9,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,electronic check,94.4,857.25,1,96,5571,price too high,65,8321,0,0,0,1,1,0,1
5919-tmrgd,1,united states,california,huntington park,90255,"33.97803, -118.217141",33.97803,-118.217141,1,no,fiber optic,no,no,no,no,yes,no,month-to-month,electronic check,79.35,79.35,1,87,2483,product dissatisfaction,81,78114,0,0,0,1,1,1,1
9191-myqkx,1,united states,california,lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,7,no,fiber optic,no,no,yes,no,no,no,month-to-month,bank transfer (automatic),75.15,496.9,1,70,3457,service dissatisfaction,83,69850,0,0,1,1,1,1,1
8637-xjivr,1,united states,california,marina del rey,90292,"33.977468, -118.445475",33.977468,-118.445475,12,yes,fiber optic,yes,no,no,no,no,no,month-to-month,electronic check,78.95,927.35,1,86,5806,lack of self-service on website,96,18058,0,0,0,1,1,1,1
0278-yxoog,1,united states,california,inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,5,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,mailed check,21.05,113.85,1,66,2604,network reliability,98,37527,1,0,0,0,1,0,1
4598-xlknj,1,united states,california,inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,25,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,electronic check,98.5,2514.5,1,88,5337,limited range of services,100,27778,0,1,1,1,1,1,1
3192-nqeca,1,united states,california,santa monica,90403,"34.031529, -118.491156",34.031529,-118.491156,68,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,bank transfer (automatic),110.0,7611.85,1,86,5034,lack of affordable download/upload speed,105,23559,1,0,1,0,1,1,1
0486-heczi,1,united states,california,torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,55,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,electronic check,96.75,5238.9,1,75,5154,long distance charges,111,31678,1,0,1,1,1,1,1
4846-whafz,1,united states,california,whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,37,yes,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,76.5,2868.15,1,67,2793,extra data charges,114,26265,0,1,1,1,1,1,1
5299-ruloa,1,united states,california,whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,10,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,electronic check,100.25,1064.65,1,87,5998,price too high,118,32148,0,0,1,1,1,1,1
0404-swrvg,1,united states,california,la habra,90631,"33.940619, -117.9513",33.940619,-117.9513,3,yes,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,74.4,229.55,1,76,4415,product dissatisfaction,123,67354,1,0,0,1,1,1,1
4412-yltkf,1,united states,california,pico rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,27,yes,fiber optic,no,no,yes,no,no,no,month-to-month,electronic check,78.05,2135.5,1,95,4638,service dissatisfaction,127,63288,0,1,0,1,1,1,1
6207-wiolx,1,united states,california,avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,25,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,credit card (automatic),58.6,1502.65,1,99,4190,lack of self-service on website,132,3699,0,0,1,0,0,1,1
3091-fyhki,1,united states,california,harbor city,90710,"33.798266, -118.300237",33.798266,-118.300237,1,no phone service,dsl,no,no,no,no,no,yes,month-to-month,electronic check,35.45,35.45,1,80,2301,network reliability,134,24660,1,0,0,0,0,1,1
2372-hwuhi,1,united states,california,lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,2,no,dsl,no,no,no,no,no,no,month-to-month,electronic check,44.35,81.25,1,76,2570,don't know,135,30173,1,0,0,0,1,0,1
0390-dcfdq,1,united states,california,los alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,1,no,fiber optic,no,no,no,no,no,no,month-to-month,mailed check,70.45,70.45,1,76,3964,don't know,140,21343,0,1,1,1,1,1,1
4080-ogpjl,1,united states,california,san pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,8,yes,dsl,yes,no,no,yes,no,yes,month-to-month,electronic check,71.15,563.65,1,66,2662,don't know,142,58639,0,0,0,0,1,0,1
2135-rxihg,1,united states,california,carson,90745,"33.822295, -118.26411",33.822295,-118.26411,1,no,dsl,no,no,no,no,no,no,month-to-month,electronic check,45.65,45.65,1,73,2600,poor expertise of online support,148,55486,1,0,0,0,1,1,1
3874-eqoep,1,united states,california,long beach,90804,"33.783047, -118.1486",33.783047,-118.1486,7,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,mailed check,95.0,655.5,1,94,2786,poor expertise of phone support,152,43467,1,0,0,1,1,0,1
0867-mkzvy,1,united states,california,altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,20,yes,fiber optic,yes,no,no,no,no,no,month-to-month,electronic check,82.4,1592.35,1,86,5719,price too high,162,36243,0,0,1,1,1,0,1
3376-bmgfe,1,united states,california,monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,4,no,fiber optic,no,no,no,no,no,no,month-to-month,bank transfer (automatic),70.9,273,1,75,4287,product dissatisfaction,167,41067,0,0,0,1,1,1,1
3445-hxxgf,1,united states,california,sierra madre,91024,"34.168686, -118.057505",34.168686,-118.057505,58,no phone service,dsl,no,yes,yes,no,no,yes,month-to-month,electronic check,45.3,2651.2,1,100,5444,service dissatisfaction,169,10558,1,1,1,0,0,1,1
1875-qivme,1,united states,california,tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,2,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,electronic check,104.4,242.8,1,83,4690,lack of self-service on website,172,26753,0,0,1,1,1,1,1
0691-jvsya,1,united states,california,pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,53,no,fiber optic,no,no,yes,no,yes,yes,one year,bank transfer (automatic),94.85,5000.2,1,80,4328,network reliability,174,27891,0,0,1,0,1,1,1
2656-fmokz,1,united states,california,pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,15,yes,fiber optic,no,no,no,no,no,no,month-to-month,mailed check,74.45,1145.7,1,99,5717,limited range of services,177,23742,0,1,0,1,1,1,1
2070-fnexe,1,united states,california,pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,7,no,fiber optic,yes,no,no,no,no,no,month-to-month,bank transfer (automatic),76.45,503.6,1,81,4419,lack of affordable download/upload speed,178,32369,0,1,0,1,1,0,1
6317-ypkdh,1,united states,california,glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,1,no phone service,dsl,no,yes,no,no,no,no,month-to-month,bank transfer (automatic),29.95,29.95,1,95,4534,long distance charges,181,21990,0,0,0,0,0,0,1
9367-wxlch,1,united states,california,glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,8,yes,fiber optic,no,no,no,no,no,yes,month-to-month,bank transfer (automatic),84.5,662.65,1,86,2152,extra data charges,183,17015,1,0,0,1,1,0,1
1918-zbfqj,1,united states,california,glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,13,no,fiber optic,no,yes,yes,no,no,no,month-to-month,electronic check,79.25,1111.65,1,73,5142,price too high,185,31297,0,0,0,1,1,1,1
1024-guald,1,united states,california,glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,1,no phone service,dsl,no,no,no,no,no,no,month-to-month,electronic check,24.8,24.8,1,94,4851,product dissatisfaction,186,9864,0,0,1,0,0,1,1
2472-ovkup,1,united states,california,canoga park,91304,"34.224377, -118.632656",34.224377,-118.632656,6,no,fiber optic,no,yes,yes,no,no,yes,month-to-month,electronic check,91.0,531,1,94,2283,service dissatisfaction,192,49242,1,0,1,1,1,1,1
1285-okipp,1,united states,california,mission hills,91345,"34.266389, -118.459744",34.266389,-118.459744,1,no,fiber optic,no,no,no,no,no,yes,month-to-month,electronic check,79.9,79.9,1,98,3394,lack of self-service on website,208,17112,1,0,0,1,1,0,1
7825-ecjrf,1,united states,california,santa clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,19,no,fiber optic,yes,no,yes,yes,yes,yes,month-to-month,electronic check,106.6,1934.45,1,71,3764,network reliability,209,40077,0,0,0,1,1,1,1
7841-tzdmq,1,united states,california,sun valley,91352,"34.231053, -118.338307",34.231053,-118.338307,2,no,dsl,no,no,no,no,no,no,month-to-month,credit card (automatic),46.0,84.5,1,76,2667,don't know,211,46639,1,0,0,0,1,1,1
9408-ssnvz,1,united states,california,stevenson ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,4,no,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,70.15,268.35,1,67,2227,don't know,221,9937,0,0,0,1,1,1,1
0742-moabm,1,united states,california,panorama city,91402,"34.223768, -118.445461",34.223768,-118.445461,4,no,dsl,no,no,no,yes,no,no,month-to-month,mailed check,50.05,179.35,1,82,3394,don't know,224,66249,1,0,1,0,1,0,1
2232-dmlxu,1,united states,california,van nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,1,no,dsl,no,no,no,no,yes,no,month-to-month,mailed check,55.2,55.2,1,81,3638,poor expertise of online support,228,23646,0,0,1,0,1,0,1
8937-rdthp,1,united states,california,burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,1,no,fiber optic,yes,no,no,no,no,yes,month-to-month,mailed check,84.6,84.6,1,66,2484,poor expertise of phone support,233,25882,1,0,0,1,1,1,1
1251-krreg,1,united states,california,north hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,2,yes,dsl,no,yes,no,no,no,no,month-to-month,mailed check,54.4,114.1,1,81,2556,price too high,236,36625,1,0,0,0,1,1,1
0094-oifmo,1,united states,california,north hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,11,no,fiber optic,no,yes,no,no,yes,yes,month-to-month,electronic check,95.0,1120.3,1,85,5980,product dissatisfaction,239,57146,0,1,0,1,1,1,1
9947-otfqu,1,united states,california,covina,91722,"34.097345, -117.906736",34.097345,-117.906736,15,no,fiber optic,no,yes,no,no,no,no,month-to-month,electronic check,74.4,1074.3,1,86,4616,service dissatisfaction,248,33817,1,1,0,0,1,1,1
0322-yinqp,1,united states,california,covina,91723,"34.084747, -117.886844",34.084747,-117.886844,1,no,dsl,yes,no,no,no,no,no,month-to-month,mailed check,48.55,48.55,1,77,5687,lack of self-service on website,249,17554,1,0,0,0,1,1,1
4629-nrxkx,1,united states,california,el monte,91731,"34.079934, -118.046695",34.079934,-118.046695,2,no,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,70.4,147.15,1,75,5687,network reliability,252,30211,0,0,1,0,1,0,1
9514-jdski,1,united states,california,el monte,91732,"34.074492, -118.01462",34.074492,-118.01462,1,no phone service,dsl,no,yes,no,no,yes,no,month-to-month,electronic check,40.2,40.2,1,65,5828,limited range of services,253,62660,1,1,1,0,0,0,1
4959-josrx,1,united states,california,la puente,91744,"34.031441, -117.936436",34.031441,-117.936436,2,no,dsl,no,no,no,no,no,no,month-to-month,credit card (automatic),44.6,80.55,1,99,4884,lack of affordable download/upload speed,260,84965,0,0,1,0,1,1,1
7273-tefqd,1,united states,california,la puente,91746,"34.038983, -117.991372",34.038983,-117.991372,3,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,electronic check,41.15,132.2,1,96,2314,long distance charges,262,30802,1,1,0,0,0,1,1
3606-twkgi,1,united states,california,rowland heights,91748,"33.976753, -117.897367",33.976753,-117.897367,13,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,electronic check,106.9,1364.3,1,84,2494,extra data charges,263,46342,1,1,0,0,1,1,1
6323-aybrx,1,united states,california,ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,59,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,mailed check,19.35,1099.6,1,83,5084,price too high,270,54254,1,0,0,0,1,0,1
4385-gzqxv,1,united states,california,ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,16,no,fiber optic,no,no,no,yes,yes,yes,month-to-month,electronic check,94.45,1511.2,1,81,3810,product dissatisfaction,272,49474,0,1,0,0,1,1,1
6366-zgqgl,1,united states,california,pomona,91766,"34.042286, -117.756106",34.042286,-117.756106,1,no phone service,dsl,no,no,no,no,no,no,month-to-month,bank transfer (automatic),24.8,24.8,1,73,5087,service dissatisfaction,274,69974,1,0,0,0,0,0,1
5940-ahuhd,1,united states,california,pomona,91768,"34.067932, -117.785168",34.067932,-117.785168,1,no,fiber optic,no,no,no,no,no,no,month-to-month,mailed check,70.6,70.6,1,69,3338,lack of self-service on website,276,36057,1,0,0,0,1,0,1
6432-twqlb,1,united states,california,rosemead,91770,"34.065108, -118.082791",34.065108,-118.082791,5,yes,fiber optic,no,yes,no,yes,no,no,month-to-month,electronic check,85.4,401.1,1,80,3676,network reliability,277,61623,1,0,1,0,1,1,1
4484-glzou,1,united states,california,san dimas,91773,"34.102119, -117.815532",34.102119,-117.815532,52,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,electronic check,105.05,5624.85,1,65,4839,don't know,278,33878,0,0,1,0,1,1,1
9512-uibfx,1,united states,california,west covina,91791,"34.061634, -117.893169",34.061634,-117.893169,18,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,mailed check,95.15,1779.95,1,68,4643,don't know,286,30458,1,0,1,0,1,0,1
5583-sxdag,1,united states,california,alhambra,91803,"34.074736, -118.145959",34.074736,-118.145959,1,no,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,70.0,70,1,97,4094,don't know,289,30635,1,0,1,0,1,0,1
3488-pgmqj,1,united states,california,alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,8,no,fiber optic,no,yes,no,no,no,no,month-to-month,electronic check,74.5,606.55,1,80,4345,poor expertise of online support,290,16486,1,1,0,0,1,1,1
3580-reoac,1,united states,california,bonita,91902,"32.67117, -117.00232",32.67117,-117.00232,10,no,dsl,no,no,no,no,no,no,month-to-month,credit card (automatic),44.85,435.4,1,83,4061,poor expertise of phone support,291,17389,1,0,0,0,1,1,1
7534-bfesc,1,united states,california,boulevard,91905,"32.677097, -116.304991",32.677097,-116.304991,24,yes,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,76.1,1712.7,1,98,2018,price too high,292,1509,1,1,0,0,1,1,1
6390-dsazx,1,united states,california,guatay,91931,"32.857946, -116.561917",32.857946,-116.561917,1,no,fiber optic,yes,no,no,no,no,no,month-to-month,mailed check,73.6,73.6,1,80,2565,product dissatisfaction,301,796,0,0,0,0,1,1,1
8098-llazx,1,united states,california,jacumba,91934,"32.649787, -116.2237",32.649787,-116.2237,4,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,electronic check,95.45,396.1,1,85,3677,service dissatisfaction,303,699,0,1,0,0,1,1,1
0265-edxbd,1,united states,california,mount laguna,91948,"32.830852, -116.444601",32.830852,-116.444601,32,yes,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,74.9,2303.35,1,69,4105,lack of self-service on website,308,81,1,1,1,0,1,1,1
7563-biupc,1,united states,california,borrego springs,92004,"33.200369, -116.192313",33.200369,-116.192313,5,no,fiber optic,no,no,no,no,yes,no,month-to-month,electronic check,80.6,415.55,1,69,5715,network reliability,316,2863,1,0,0,0,1,1,1
2321-ombxy,1,united states,california,carlsbad,92009,"33.098018, -117.258203",33.098018,-117.258203,38,no,dsl,yes,yes,no,yes,yes,yes,one year,credit card (automatic),80.3,3058.65,1,81,2071,limited range of services,319,43161,0,0,1,0,1,0,1
2840-xanrc,1,united states,california,del mar,92014,"32.948262, -117.256086",32.948262,-117.256086,24,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,electronic check,93.15,2231.05,1,73,2212,lack of affordable download/upload speed,320,13945,1,1,1,0,1,1,1
5020-zstty,1,united states,california,el cajon,92020,"32.79697, -116.969082",32.79697,-116.969082,54,yes,dsl,yes,yes,no,yes,yes,yes,one year,bank transfer (automatic),82.45,4350.1,1,83,4149,long distance charges,322,55277,0,1,0,0,1,0,1
5804-lepim,1,united states,california,escondido,92029,"33.079834, -117.134275",33.079834,-117.134275,2,no,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,70.35,139.05,1,73,2671,extra data charges,329,17944,0,1,0,0,1,1,1
0122-oahpz,1,united states,california,oceanside,92057,"33.254497, -117.285879",33.254497,-117.285879,7,yes,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,73.85,511.25,1,67,2473,price too high,335,46893,0,0,0,0,1,1,1
2868-snelz,1,united states,california,pala,92059,"33.384345, -117.072619",33.384345,-117.072619,2,yes,fiber optic,no,no,yes,no,no,no,month-to-month,mailed check,80.6,155.8,1,92,2683,product dissatisfaction,336,1831,0,0,0,0,1,0,1
