city,zip_code,latitude,longitude,tenure_months,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,payment_method,monthly_charges,total_charges,churn_score,cltv,churn_reason,population,gender_bin,senior_citizen_bin,partner_bin,dependents_bin,phone_service_bin,paperless_billing_bin,churn_label_bin
los angeles,90003,33.964131,-118.272783,2,no,dsl,yes,yes,no,no,no,no,month-to-month,mailed check,53.85,108.15,86,3239,competitor made better offer,58198,1,0,0,0,1,1,1
los angeles,90005,34.059281,-118.30742,2,no,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,70.7,151.65,67,2701,moved,43019,0,0,0,1,1,1,1
los angeles,90006,34.048013,-118.293953,8,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,electronic check,99.65,820.5,86,5372,moved,62784,0,0,0,1,1,1,1
los angeles,90010,34.062125,-118.315709,28,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,electronic check,104.8,3046.05,84,5003,moved,1957,0,0,1,1,1,1,1
los angeles,90015,34.039224,-118.266293,49,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,bank transfer (automatic),103.7,5036.3,89,5340,competitor had better devices,15140,1,0,0,1,1,1,1
los angeles,90020,34.066367,-118.309868,10,no,dsl,no,no,yes,yes,no,no,month-to-month,credit card (automatic),55.2,528.35,78,5925,competitor offered higher download speeds,42394,0,0,1,0,1,0,1
los angeles,90022,34.02381,-118.156582,1,no phone service,dsl,no,no,yes,no,no,yes,month-to-month,electronic check,39.65,39.65,100,5433,competitor offered more data,68701,1,1,0,0,0,1,1
los angeles,90024,34.066303,-118.435479,1,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,mailed check,20.15,20.15,92,4832,competitor made better offer,44150,1,0,0,0,1,0,1
los angeles,90028,34.099869,-118.326843,47,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,electronic check,99.35,4749.15,77,5789,competitor had better devices,30568,1,0,1,1,1,1,1
los angeles,90029,34.089953,-118.294824,1,no phone service,dsl,no,yes,no,no,no,no,month-to-month,electronic check,30.2,30.2,97,2915,competitor had better devices,41713,1,0,1,0,0,0,1
los angeles,90032,34.078821,-118.177576,17,no,dsl,no,no,no,no,yes,yes,month-to-month,mailed check,64.7,1093.1,74,3022,competitor offered higher download speeds,46960,0,0,0,0,1,1,1
los angeles,90039,34.110845,-118.259595,5,no,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,69.7,316.9,66,2454,competitor offered higher download speeds,29310,1,0,0,1,1,1,1
los angeles,90041,34.137412,-118.207607,34,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,electronic check,106.35,3549.25,65,2941,competitor offered higher download speeds,27866,1,0,0,1,1,1,1
los angeles,90042,34.11572,-118.192754,11,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,bank transfer (automatic),97.85,1105.4,70,5674,competitor offered more data,64672,0,0,0,1,1,1,1
los angeles,90056,33.987945,-118.370442,2,no,fiber optic,no,no,no,no,yes,no,month-to-month,electronic check,80.65,144.15,90,5586,competitor offered more data,8115,0,0,0,1,1,1,1
los angeles,90061,33.92128,-118.274186,15,no,fiber optic,yes,yes,no,no,yes,yes,month-to-month,credit card (automatic),99.1,1426.4,82,2966,competitor offered more data,24511,0,0,0,1,1,1,1
los angeles,90063,34.044271,-118.185237,8,yes,fiber optic,no,yes,no,no,no,no,month-to-month,credit card (automatic),80.65,633.3,69,5302,competitor made better offer,55668,0,1,1,1,1,1,1
los angeles,90065,34.108833,-118.229715,18,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,electronic check,95.45,1752.55,81,3179,competitor made better offer,47534,1,1,0,1,1,1,1
beverly hills,90211,34.063947,-118.383001,9,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,electronic check,94.4,857.25,96,5571,price too high,8321,0,0,0,1,1,0,1
huntington park,90255,33.97803,-118.217141,1,no,fiber optic,no,no,no,no,yes,no,month-to-month,electronic check,79.35,79.35,87,2483,product dissatisfaction,78114,0,0,0,1,1,1,1
lynwood,90262,33.923573,-118.200669,7,no,fiber optic,no,no,yes,no,no,no,month-to-month,bank transfer (automatic),75.15,496.9,70,3457,service dissatisfaction,69850,0,0,1,1,1,1,1
marina del rey,90292,33.977468,-118.445475,12,yes,fiber optic,yes,no,no,no,no,no,month-to-month,electronic check,78.95,927.35,86,5806,lack of self-service on website,18058,0,0,0,1,1,1,1
inglewood,90301,33.956445,-118.358634,5,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,mailed check,21.05,113.85,66,2604,network reliability,37527,1,0,0,0,1,0,1
inglewood,90303,33.936291,-118.332639,25,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,electronic check,98.5,2514.5,88,5337,limited range of services,27778,0,1,1,1,1,1,1
santa monica,90403,34.031529,-118.491156,68,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,bank transfer (automatic),110.0,7611.85,86,5034,lack of affordable download/upload speed,23559,1,0,1,0,1,1,1
torrance,90504,33.867257,-118.330794,55,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,electronic check,96.75,5238.9,75,5154,long distance charges,31678,1,0,1,1,1,1,1
whittier,90602,33.972119,-118.020188,37,yes,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,76.5,2868.15,67,2793,extra data charges,26265,0,1,1,1,1,1,1
whittier,90606,33.976678,-118.065875,10,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,electronic check,100.25,1064.65,87,5998,price too high,32148,0,0,1,1,1,1,1
la habra,90631,33.940619,-117.9513,3,yes,fiber optic,no,no,no,no,no,no,month-to-month,electronic check,74.4,229.55,76,4415,product dissatisfaction,67354,1,0,0,1,1,1,1
pico rivera,90660,33.989524,-118.089299,27,yes,fiber optic,no,no,yes,no,no,no,month-to-month,electronic check,78.05,2135.5,95,4638,service dissatisfaction,63288,0,1,0,1,1,1,1
avalon,90704,33.391181,-118.421305,25,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,credit card (automatic),58.6,1502.65,99,4190,lack of self-service on website,3699,0,0,1,0,0,1,1
harbor city,90710,33.798266,-118.300237,1,no phone service,dsl,no,no,no,no,no,yes,month-to-month,electronic check,35.45,35.45,80,2301,network reliability,24660,1,0,0,0,0,1,1
lakewood,90712,33.840524,-118.148403,2,no,dsl,no,no,no,no,no,no,month-to-month,electronic check,44.35,81.25,76,2570,don't know,30173,1,0,0,0,1,0,1
los alamitos,90720,33.79499,-118.065591,1,no,fiber optic,no,no,no,no,no,no,month-to-month,mailed check,70.45,70.45,76,3964,don't know,21343,0,1,1,1,1,1,1
san pedro,90731,33.736387,-118.284363,8,yes,dsl,yes,no,no,yes,no,yes,month-to-month,electronic check,71.15,563.65,66,2662,don't know,58639,0,0,0,0,1,0,1
